nom,nb_hab_2010,nb_hab_2012,diff2012_2010
Valbonne,12275,12500,225
Brunoy,25377,25600,223
Verneuil-sur-Seine,15178,15400,222
Belfort,50078,50300,222
Guingamp,7280,7500,220
Ventabren,4581,4800,219
Saint-Saulve,10983,11200,217
Nogent-le-Rotrou,10884,11100,216
Avon,13984,14200,216
Drap,4385,4600,215
Laon,25986,26200,214
Mons-en-Barœul,21887,22100,213
Péronne,7887,8100,213
Bort-les-Orgues,2988,3200,212
Moulins,19590,19800,210
Ham,4991,5200,209
Draguignan,36391,36600,209
L'Île-d'Yeu,4591,4800,209
Draveil,28491,28700,209
Bobigny,47492,47700,208
Athis-Mons,30393,30600,207
Chinon,7894,8100,206
Montmorency,21194,21400,206
Bessancourt,6994,7200,206
Fumay,3697,3900,203
La Rochefoucauld,2997,3200,203
Biscarrosse,12197,12400,203
Douai,42197,42400,203
Saint-Juéry,6797,7000,203
Vire,11999,12200,201
Loison-sous-Lens,5299,5500,201
Le Castellet,4099,4300,201
Varennes-sur-Allier,3600,3800,200
Saint-Cyr-l'École,17401,17600,199
Blaye,4802,5000,198
Saint-Barthélemy-d'Anjou,8702,8900,198
Manosque,22105,22300,195
Megève,3705,3900,195
Viroflay,15905,16100,195
Villemomble,28006,28200,194
Tourrettes-sur-Loup,4007,4200,193
Ligny-en-Barrois,4307,4500,193
Fécamp,19207,19400,193
Trèbes,5308,5500,192
Barentin,12108,12300,192
Le Mée-sur-Seine,20609,20800,191
Deuil-la-Barre,21509,21700,191
Embrun,6110,6300,190
Figeac,9810,10000,190
Noisy-le-Roi,7811,8000,189
Decazeville,6012,6200,188
Douarnenez,14912,15100,188
Condom,7012,7200,188
Issoire,14012,14200,188
Blainville-sur-Orne,5813,6000,187
Plan-de-Cuques,10917,11100,183
Gignac-la-Nerthe,9018,9200,182
Port-Louis,2718,2900,182
Ville-sous-la-Ferté,1119,1300,181
Carcassonne,47419,47600,181
Dinan,10819,11000,181
Bitche,5319,5500,181
Saint-Calais,3419,3600,181
Saran,15120,15300,180
Avranches,8020,8200,180
Agneaux,4020,4200,180
Saint-Mihiel,4620,4800,180
Ronchin,18120,18300,180
Saint-Venant,3120,3300,180
Thorigny-sur-Marne,9220,9400,180
Morlaix,15421,15600,179
Condé-sur-Noireau,5422,5600,178
Saint-Quentin-Fallavier,5922,6100,178
Châteaubriant,12022,12200,178
Auray,12322,12500,178
Aubenas,11323,11500,177
Vauvert,11023,11200,177
Saint-Chély-d'Apcher,4323,4500,177
Lavelanet,6525,6700,175
Hersin-Coupigny,6225,6400,175
Argenteuil,103125,103300,175
Gouesnou,6126,6300,174
Oye-Plage,5427,5600,173
Senones,2627,2800,173
La Faute-sur-Mer,828,1000,172
Raon-l'Étape,6528,6700,172
Lardy,5528,5700,172
La Charité-sur-Loire,5129,5300,171
Varces-Allières-et-Risset,6330,6500,170
Blangy-sur-Bresle,2930,3100,170
Sourdun,1430,1600,170
Dreux,31031,31200,169
Auchel,11031,11200,169
Obernai,10731,10900,169
Le Pontet,16731,16900,169
Bar-sur-Seine,3233,3400,167
Paimpol,7634,7800,166
Joinville,3635,3800,165
Oberhausbergen,4835,5000,165
Bures-sur-Yvette,9535,9700,165
Vertus,2536,2700,164
Cayeux-sur-Mer,2736,2900,164
Luçon,9636,9800,164
Pacy-sur-Eure,4637,4800,163
Rombas,9937,10100,163
Villiers-sur-Marne,27338,27500,162
Moyeuvre-Grande,7939,8100,161
Espalion,4341,4500,159
Farébersviller,5741,5900,159
Mundolsheim,4941,5100,159
Aulnoye-Aymeries,8642,8800,158
Billère,13142,13300,158
Épinal,32842,33000,158
Gauchy,5443,5600,157
Saint-Nicolas,4843,5000,157
Saint-Martin-de-Belleville,2543,2700,157
Migennes,7243,7400,157
Hauteville-Lompnes,4044,4200,156
Aubin,4044,4200,156
Morsang-sur-Orge,20944,21100,156
Taverny,26144,26300,156
Ussel,10245,10400,155
